activity,subject,variable,average
LAYING,1,fBodyAccJerkMeanFreqX,0.132419092398
LAYING,1,fBodyAccJerkMeanFreqY,0.024513618956000002
LAYING,1,fBodyAccJerkMeanFreqZ,0.024387945279999997
LAYING,1,fBodyAccJerkMeanX,-0.9570738838
LAYING,1,fBodyAccJerkMeanY,-0.9224626097999999
LAYING,1,fBodyAccJerkMeanZ,-0.9480609042
LAYING,1,fBodyAccJerkStdX,-0.9641607086
LAYING,1,fBodyAccJerkStdY,-0.9322178704
LAYING,1,fBodyAccJerkStdZ,-0.9605869872
LAYING,1,fBodyAccMagMean,-0.8617676481
LAYING,1,fBodyAccMagMeanFreq,0.08640856294
LAYING,1,fBodyAccMagStd,-0.7983009404
LAYING,1,fBodyAccMeanFreqX,-0.158792670508
LAYING,1,fBodyAccMeanFreqY,0.097534841586
LAYING,1,fBodyAccMeanFreqZ,0.08943765522000001
LAYING,1,fBodyAccMeanX,-0.9390990524
LAYING,1,fBodyAccMeanY,-0.86706520518
LAYING,1,fBodyAccMeanZ,-0.8826668762000001
LAYING,1,fBodyAccStdX,-0.9244374346
LAYING,1,fBodyAccStdY,-0.8336255561
LAYING,1,fBodyAccStdZ,-0.81289155944
LAYING,1,fBodyBodyAccJerkMagMean,-0.9333003608
LAYING,1,fBodyBodyAccJerkMagMeanFreq,0.26639115416000003
LAYING,1,fBodyBodyAccJerkMagStd,-0.9218039756
LAYING,1,fBodyBodyGyroJerkMagMean,-0.9423669466
LAYING,1,fBodyBodyGyroJerkMagMeanFreq,0.17648590708
LAYING,1,fBodyBodyGyroJerkMagStd,-0.9326606676
LAYING,1,fBodyBodyGyroMagMean,-0.8621901854
LAYING,1,fBodyBodyGyroMagMeanFreq,-0.1397750127
LAYING,1,fBodyBodyGyroMagStd,-0.82431943968
LAYING,1,fBodyGyroMeanFreqX,-0.003546795855999998
LAYING,1,fBodyGyroMeanFreqY,-0.091529130882
LAYING,1,fBodyGyroMeanFreqZ,0.010458125660000005
LAYING,1,fBodyGyroMeanX,-0.850249174586
LAYING,1,fBodyGyroMeanY,-0.9521914948
LAYING,1,fBodyGyroMeanZ,-0.909302721
LAYING,1,fBodyGyroStdX,-0.8822964508
LAYING,1,fBodyGyroStdY,-0.9512320494
LAYING,1,fBodyGyroStdZ,-0.9165825082
LAYING,1,tBodyAccJerkMagMean,-0.9543962646
LAYING,1,tBodyAccJerkMagStd,-0.9282456284
LAYING,1,tBodyAccJerkMeanX,0.0810865342
LAYING,1,tBodyAccJerkMeanY,0.0038382040088000002
LAYING,1,tBodyAccJerkMeanZ,0.010834236361
LAYING,1,tBodyAccJerkStdX,-0.958482112
LAYING,1,tBodyAccJerkStdY,-0.9241492736
LAYING,1,tBodyAccJerkStdZ,-0.9548551108
LAYING,1,tBodyAccMagMean,-0.8419291525
LAYING,1,tBodyAccMagStd,-0.79514486386
LAYING,1,tBodyAccMeanX,0.22159824394
LAYING,1,tBodyAccMeanY,-0.0405139534294
LAYING,1,tBodyAccMeanZ,-0.11320355358
LAYING,1,tBodyAccStdX,-0.9280564692
LAYING,1,tBodyAccStdY,-0.83682740562
LAYING,1,tBodyAccStdZ,-0.826061401628
LAYING,1,tBodyGyroJerkMagMean,-0.96346103
